COM;REG;DEP;NCC;NCCENR;LIBELLE
1001;84;1;ABERGEMENT CLEMENCIAT;Abergement-Clémenciat;L'Abergement-Clémenciat
1002;84;1;ABERGEMENT DE VAREY;Abergement-de-Varey;L'Abergement-de-Varey
1004;84;1;AMBERIEU EN BUGEY;Ambérieu-en-Bugey;Ambérieu-en-Bugey
1005;84;1;AMBERIEUX EN DOMBES;Ambérieux-en-Dombes;Ambérieux-en-Dombes
1006;84;1;AMBLEON;Ambléon;Ambléon
1007;84;1;AMBRONAY;Ambronay;Ambronay
1008;84;1;AMBUTRIX;Ambutrix;Ambutrix
1009;84;1;ANDERT ET CONDON;Andert-et-Condon;Andert-et-Condon
1010;84;1;ANGLEFORT;Anglefort;Anglefort
1011;84;1;APREMONT;Apremont;Apremont
1012;84;1;ARANC;Aranc;Aranc
1013;84;1;ARANDAS;Arandas;Arandas
1014;84;1;ARBENT;Arbent;Arbent
1015;84;1;ARBOYS EN BUGEY;Arboys en Bugey;Arboys en Bugey
1015;;;ARBIGNIEU;Arbignieu;Arbignieu
1016;84;1;ARBIGNY;Arbigny;Arbigny
1017;84;1;ARGIS;Argis;Argis
1019;84;1;ARMIX;Armix;Armix
1021;84;1;ARS SUR FORMANS;Ars-sur-Formans;Ars-sur-Formans
1022;84;1;ARTEMARE;Artemare;Artemare
1023;84;1;ASNIERES SUR SAONE;Asnières-sur-Saône;Asnières-sur-Saône
1024;84;1;ATTIGNAT;Attignat;Attignat
1025;84;1;BAGE DOMMARTIN;Bâgé-Dommartin;Bâgé-Dommartin
1025;;;BAGE LA VILLE;Bâgé-la-Ville;Bâgé-la-Ville
1026;84;1;BAGE LE CHATEL;Bâgé-le-Châtel;Bâgé-le-Châtel
1027;84;1;BALAN;Balan;Balan
1028;84;1;BANEINS;Baneins;Baneins
1029;84;1;BEAUPONT;Beaupont;Beaupont
1030;84;1;BEAUREGARD;Beauregard;Beauregard
1031;84;1;BELLIGNAT;Bellignat;Bellignat
1032;84;1;BELIGNEUX;Béligneux;Béligneux
1033;84;1;VALSERHONE;Valserhône;Valserhône
1033;;;BELLEGARDE SUR VALSERINE;Bellegarde-sur-Valserine;Bellegarde-sur-Valserine
1034;84;1;BELLEY;Belley;Belley
1035;84;1;BELLEYDOUX;Belleydoux;Belleydoux
1036;84;1;VALROMEY SUR SERAN;Valromey-sur-Séran;Valromey-sur-Séran
1036;;;BELMONT LUTHEZIEU;Belmont-Luthézieu;Belmont-Luthézieu
1037;84;1;BENONCES;Bénonces;Bénonces
1038;84;1;BENY;Bény;Bény
1039;84;1;BEON;Béon;Béon
1040;84;1;BEREZIAT;Béréziat;Béréziat
1041;84;1;BETTANT;Bettant;Bettant
1042;84;1;BEY;Bey;Bey
1043;84;1;BEYNOST;Beynost;Beynost
1044;84;1;BILLIAT;Billiat;Billiat
1045;84;1;BIRIEUX;Birieux;Birieux
1046;84;1;BIZIAT;Biziat;Biziat
1047;84;1;BLYES;Blyes;Blyes
1049;84;1;BOISSE;Boisse;La Boisse
1050;84;1;BOISSEY;Boissey;Boissey
1051;84;1;BOLOZON;Bolozon;Bolozon
1052;84;1;BOULIGNEUX;Bouligneux;Bouligneux
1053;84;1;BOURG EN BRESSE;Bourg-en-Bresse;Bourg-en-Bresse
1054;84;1;BOURG SAINT CHRISTOPHE;Bourg-Saint-Christophe;Bourg-Saint-Christophe
1056;84;1;BOYEUX SAINT JEROME;Boyeux-Saint-Jérôme;Boyeux-Saint-Jérôme
1057;84;1;BOZ;Boz;Boz
1058;84;1;BREGNIER CORDON;Brégnier-Cordon;Brégnier-Cordon
1059;;;BRENAZ;Brénaz;Brénaz
1060;84;1;BRENOD;Brénod;Brénod
1061;84;1;BRENS;Brens;Brens
1062;84;1;BRESSOLLES;Bressolles;Bressolles
1063;84;1;BRION;Brion;Brion
1064;84;1;BRIORD;Briord;Briord
1065;84;1;BUELLAS;Buellas;Buellas
1066;84;1;BURBANCHE;Burbanche;La Burbanche
1067;84;1;CEIGNES;Ceignes;Ceignes
1068;84;1;CERDON;Cerdon;Cerdon
1069;84;1;CERTINES;Certines;Certines
1071;84;1;CESSY;Cessy;Cessy
1072;84;1;CEYZERIAT;Ceyzériat;Ceyzériat
1073;84;1;CEYZERIEU;Ceyzérieu;Ceyzérieu
1074;84;1;CHALAMONT;Chalamont;Chalamont
1075;84;1;CHALEINS;Chaleins;Chaleins
1076;84;1;CHALEY;Chaley;Chaley
1077;84;1;CHALLES LA MONTAGNE;Challes-la-Montagne;Challes-la-Montagne
1078;84;1;CHALLEX;Challex;Challex
1079;84;1;CHAMPAGNE EN VALROMEY;Champagne-en-Valromey;Champagne-en-Valromey
1080;84;1;CHAMPDOR CORCELLES;Champdor-Corcelles;Champdor-Corcelles
1080;;;CHAMPDOR;Champdor;Champdor
1081;84;1;CHAMPFROMIER;Champfromier;Champfromier
1082;84;1;CHANAY;Chanay;Chanay
1083;84;1;CHANEINS;Chaneins;Chaneins
1084;84;1;CHANOZ CHATENAY;Chanoz-Châtenay;Chanoz-Châtenay
1085;84;1;CHAPELLE DU CHATELARD;Chapelle-du-Châtelard;La Chapelle-du-Châtelard
1087;84;1;CHARIX;Charix;Charix
1088;84;1;CHARNOZ SUR AIN;Charnoz-sur-Ain;Charnoz-sur-Ain
1089;84;1;CHATEAU GAILLARD;Château-Gaillard;Château-Gaillard
1090;84;1;CHATENAY;Châtenay;Châtenay
1091;;;CHATILLON EN MICHAILLE;Châtillon-en-Michaille;Châtillon-en-Michaille
1092;84;1;CHATILLON LA PALUD;Châtillon-la-Palud;Châtillon-la-Palud
1093;84;1;CHATILLON SUR CHALARONNE;Châtillon-sur-Chalaronne;Châtillon-sur-Chalaronne
1094;84;1;CHAVANNES SUR REYSSOUZE;Chavannes-sur-Reyssouze;Chavannes-sur-Reyssouze
1095;84;1;NIVIGNE ET SURAN;Nivigne et Suran;Nivigne et Suran
1095;;;CHAVANNES SUR SURAN;Chavannes-sur-Suran;Chavannes-sur-Suran
1096;84;1;CHAVEYRIAT;Chaveyriat;Chaveyriat
1097;;;CHAVORNAY;Chavornay;Chavornay
1098;84;1;CHAZEY BONS;Chazey-Bons;Chazey-Bons
1099;84;1;CHAZEY SUR AIN;Chazey-sur-Ain;Chazey-sur-Ain
1100;84;1;CHEIGNIEU LA BALME;Cheignieu-la-Balme;Cheignieu-la-Balme
1101;84;1;CHEVILLARD;Chevillard;Chevillard
1102;84;1;CHEVROUX;Chevroux;Chevroux
1103;84;1;CHEVRY;Chevry;Chevry
1104;84;1;CHEZERY FORENS;Chézery-Forens;Chézery-Forens
1105;84;1;CIVRIEUX;Civrieux;Civrieux
1106;84;1;CIZE;Cize;Cize
1107;84;1;CLEYZIEU;Cleyzieu;Cleyzieu
1108;84;1;COLIGNY;Coligny;Coligny
1109;84;1;COLLONGES;Collonges;Collonges
1110;84;1;COLOMIEU;Colomieu;Colomieu
1111;84;1;CONAND;Conand;Conand
1112;84;1;CONDAMINE;Condamine;Condamine
1113;84;1;CONDEISSIAT;Condeissiat;Condeissiat
1114;84;1;CONFORT;Confort;Confort
1115;84;1;CONFRANCON;Confrançon;Confrançon
1116;84;1;CONTREVOZ;Contrevoz;Contrevoz
1117;84;1;CONZIEU;Conzieu;Conzieu
1118;84;1;CORBONOD;Corbonod;Corbonod
1119;;;CORCELLES;Corcelles;Corcelles
1120;;;CORDIEUX;Cordieux;Cordieux
1121;84;1;CORLIER;Corlier;Corlier
1122;;;CORMARANCHE EN BUGEY;Cormaranche-en-Bugey;Cormaranche-en-Bugey
1123;84;1;CORMORANCHE SUR SAONE;Cormoranche-sur-Saône;Cormoranche-sur-Saône
1124;84;1;CORMOZ;Cormoz;Cormoz
1125;84;1;CORVEISSIAT;Corveissiat;Corveissiat
1127;84;1;COURMANGOUX;Courmangoux;Courmangoux
1128;84;1;COURTES;Courtes;Courtes
1129;84;1;CRANS;Crans;Crans
1130;84;1;BRESSE VALLONS;Bresse Vallons;Bresse Vallons
1130;;;CRAS SUR REYSSOUZE;Cras-sur-Reyssouze;Cras-sur-Reyssouze
1133;84;1;CRESSIN ROCHEFORT;Cressin-Rochefort;Cressin-Rochefort
1134;84;1;CROTTET;Crottet;Crottet
1135;84;1;CROZET;Crozet;Crozet
1136;84;1;CRUZILLES LES MEPILLAT;Cruzilles-lès-Mépillat;Cruzilles-lès-Mépillat
1137;;;CUISIAT;Cuisiat;Cuisiat
1138;84;1;CULOZ;Culoz;Culoz
1139;84;1;CURCIAT DONGALON;Curciat-Dongalon;Curciat-Dongalon
1140;84;1;CURTAFOND;Curtafond;Curtafond
1141;84;1;CUZIEU;Cuzieu;Cuzieu
1142;84;1;DAGNEUX;Dagneux;Dagneux
1143;84;1;DIVONNE LES BAINS;Divonne-les-Bains;Divonne-les-Bains
1144;;;DOMMARTIN;Dommartin;Dommartin
1145;84;1;DOMPIERRE SUR VEYLE;Dompierre-sur-Veyle;Dompierre-sur-Veyle
1146;84;1;DOMPIERRE SUR CHALARONNE;Dompierre-sur-Chalaronne;Dompierre-sur-Chalaronne
1147;84;1;DOMSURE;Domsure;Domsure
1148;84;1;DORTAN;Dortan;Dortan
1149;84;1;DOUVRES;Douvres;Douvres
1150;84;1;DROM;Drom;Drom
1151;84;1;DRUILLAT;Druillat;Druillat
1152;84;1;ECHALLON;Échallon;Échallon
1153;84;1;ECHENEVEX;Échenevex;Échenevex
1154;;;ETREZ;Étrez;Étrez
1155;84;1;EVOSGES;Évosges;Évosges
1156;84;1;FARAMANS;Faramans;Faramans
1157;84;1;FAREINS;Fareins;Fareins
1158;84;1;FARGES;Farges;Farges
1159;84;1;FEILLENS;Feillens;Feillens
1160;84;1;FERNEY VOLTAIRE;Ferney-Voltaire;Ferney-Voltaire
1162;84;1;FLAXIEU;Flaxieu;Flaxieu
1163;84;1;FOISSIAT;Foissiat;Foissiat
1165;84;1;FRANCHELEINS;Francheleins;Francheleins
1166;84;1;FRANS;Frans;Frans
1167;84;1;GARNERANS;Garnerans;Garnerans
1169;84;1;GENOUILLEUX;Genouilleux;Genouilleux
